x_meters,y_meters
-3.232373425268543343e+01,-3.694833796955529692e+01
-3.257339527313695271e+01,-3.738113428114563419e+01
-3.284967498802687658e+01,-3.779756431759833646e+01
-3.312900631153681275e+01,-3.821186157318980747e+01
-3.339847800348083240e+01,-3.863270858592228052e+01
-3.367197262808934255e+01,-3.905089626106513379e+01
-3.395105958131272672e+01,-3.946538246838021280e+01
-3.422502318896590623e+01,-3.988326202022646783e+01
-3.450858418466596333e+01,-4.029482491630992769e+01
-3.477814150111934310e+01,-4.071542697991472437e+01
-3.504847466811774126e+01,-4.113549313198420521e+01
-3.532626835199793902e+01,-4.155088217352147950e+01
-3.560124010631756875e+01,-4.196813102931675843e+01
-3.586982257321706413e+01,-4.238950274195410373e+01
-3.614847834560215034e+01,-4.280421414269056868e+01
-3.643686731538547008e+01,-4.321234986455840499e+01
-3.671946079982690492e+01,-4.362452869392554078e+01
-3.702412726964789158e+01,-4.402054915913997490e+01
-3.731669581373294875e+01,-4.442571568411717919e+01
-3.763039616386915043e+01,-4.481451789270147401e+01
-3.794765946100223175e+01,-4.520058798387852050e+01
-3.826736779808187094e+01,-4.558462160052870615e+01
-3.859260703702600637e+01,-4.596399050665613117e+01
-3.893383271614113283e+01,-4.632906225112824927e+01
-3.928492637722033010e+01,-4.668469743516958914e+01
-3.964476165632503069e+01,-4.703146695829828161e+01
-4.001813880233522980e+01,-4.736350621380209702e+01
-4.039770937181022958e+01,-4.768854546299361630e+01
-4.078110298487951724e+01,-4.800894900250938235e+01
-4.116648560168356141e+01,-4.832715326695101510e+01
-4.156111583652693753e+01,-4.863346191473308266e+01
-4.197337881941788851e+01,-4.891599900475591767e+01
-4.239347097914505724e+01,-4.918667418103344602e+01
-4.282570728096769130e+01,-4.943702931305827519e+01
-4.326805749936078627e+01,-4.966979922909334277e+01
-4.371377969840053623e+01,-4.989529371781785017e+01
-4.416564951586771315e+01,-5.010868009462210182e+01
-4.461684736521370809e+01,-5.032324414448493144e+01
-4.507658231098419321e+01,-5.051931493415807495e+01
-4.553415040697257865e+01,-5.072002973248224578e+01
-4.599206450798288870e+01,-5.092002217417179111e+01
-4.645339986470344940e+01,-5.111209227688682688e+01
-4.691208803639541713e+01,-5.131031026891144364e+01
-4.736667112454177442e+01,-5.151780826612433373e+01
-4.782411833883659114e+01,-5.171891115050643606e+01
-4.828170103899950760e+01,-5.191970657034461567e+01
-4.873703842007247999e+01,-5.212551644107166027e+01
-4.919092869296722625e+01,-5.233445323935922744e+01
-4.965026985131203219e+01,-5.253126970319910072e+01
-5.010990504162140979e+01,-5.272730271866673490e+01
-5.056957989968350375e+01,-5.292326776604163285e+01
-5.102923676514627971e+01,-5.311926713771585185e+01
-5.148892695170705736e+01,-5.331519532296508146e+01
-5.194850904475408981e+01,-5.351135791270723985e+01
-5.240842015085692651e+01,-5.370680628715993521e+01
-5.286585975657762759e+01,-5.390777790190762886e+01
-5.332585675772610756e+01,-5.410370985037653213e+01
-5.376817744684208122e+01,-5.433572098171022446e+01
-5.422286667101067081e+01,-5.454320659194868881e+01
-5.468091876460476897e+01,-5.474284422943642170e+01
-5.513944054703842568e+01,-5.494149940314366631e+01
-5.560177833092089372e+01,-5.513111753561442185e+01
-5.607092501872193679e+01,-5.530317985734287589e+01
-5.655413133019925453e+01,-5.543133068324478074e+01
-5.704779386037492372e+01,-5.550764539674464970e+01
-5.754987392859337092e+01,-5.553556797356547747e+01
-5.804770126155268173e+01,-5.548834882907262056e+01
-5.852458589281069123e+01,-5.533685822969934520e+01
-5.896253074484506840e+01,-5.509135815349554122e+01
-5.934750939710900042e+01,-5.477207231888104388e+01
-5.967433494210073519e+01,-5.439247893427890546e+01
-5.993225905278382015e+01,-5.396410872563960481e+01
-6.011753721224243918e+01,-5.349973509627720603e+01
-6.024720112088614599e+01,-5.301554041867199629e+01
